Year,Opponent,UNC 1Q,UNC 2Q,UNC 3Q,UNC 4Q,UNC OT,Opp 1Q,Opp 2Q,Opp 3Q,Opp 4Q,Opp OT
2018,California,0,0,3,14,0,7,10,7,0,0
2018,East Carolina,6,13,0,0,0,7,14,7,13,0
2018,Pittsburgh,7,14,17,0,0,7,21,0,7,0
2018,Miami FL,10,0,0,0,0,14,19,0,14,0
2018,Virginia Tech,6,3,7,3,0,7,0,7,8,0
2018,Syracuse,7,0,17,3,10,0,13,7,7,13
2018,Virginia,7,7,0,7,0,14,3,7,7,0
2018,Georgia Tech,7,3,10,8,0,7,14,7,10,0
2018,Duke,14,14,0,7,0,14,21,7,0,0
2018,WCU,14,21,14,0,0,7,9,3,7,0
2018,NC State,0,6,15,7,0,7,0,14,7,6
2019,South Carolina,3,3,3,15,0,10,3,7,0,0
2019,Miami FL,17,0,3,8,0,3,10,6,6,0
2019,Wake Forest,0,0,3,15,0,7,14,0,3,0
2019,App State,7,10,7,7,0,13,14,7,0,0
2019,Clemson,7,7,0,6,0,0,14,0,7,0
2019,Georgia Tech,3,14,0,21,0,0,0,7,15,0
2019,Virgina Tech,10,7,7,7,10,7,14,0,10,12
2019,Duke,7,0,10,3,0,3,0,14,0,0
2019,Virginia,3,14,14,0,0,7,10,21,0,0
2019,Pittsburgh,7,3,0,17,0,3,14,7,3,7
2019,Mercer,21,21,14,0,0,0,0,0,7,0
2019,NC State,0,6,28,7,0,3,7,0,0,0
2019,Temple,7,13,21,14,0,0,6,7,0,0
2020,Syracuse,7,0,3,21,0,0,3,3,0,0
2020,Boston College,14,7,3,2,0,3,13,0,6,0
2020,Virginia Tech,21,14,7,14,0,0,14,23,8,0
2020,Florida State,0,7,14,7,0,7,24,0,0,0
2020,NC State,7,10,21,10,0,0,7,7,7,0
2020,Virgina,10,10,7,14,0,13,14,14,3,0
2020,Duke,21,21,7,7,0,0,10,7,7,0
2020,Wake Forest,17,7,7,28,0,14,21,10,8,0
2020,Notre Dame,14,3,0,0,0,14,3,7,7,0
2020,Western Carolina,21,21,7,0,0,3,0,0,6,0
2020,Miami FL,21,13,7,21,0,3,7,8,8,0
2020,Texas AM,3,10,7,7,0,7,10,0,24,0
2021,Virginia Tech,0,0,7,3,0,7,7,0,3,0
2021,Georgia State,14,10,21,14,0,3,7,0,7,0
2021,Virginia,21,3,21,14,0,7,21,3,8,0
2021,Georgia Tech,7,0,7,8,0,0,13,14,18,0
2021,Duke,7,17,0,14,0,0,0,7,0,0
2021,Florida State,10,0,7,8,0,0,21,14,0,0
2021,Miami FL,14,17,7,7,0,10,7,17,8,0
2021,Notre Dame,0,13,14,7,0,7,10,14,13,0
2021,Wake Forest,14,10,10,24,0,10,21,17,7,0
2021,Pittsburgh,0,7,6,10,0,17,6,0,0,7
2021,Wofford,10,10,14,0,0,0,7,0,7,0
2021,NC State,0,10,14,6,0,14,0,7,13,0
2021,South Carolina,0,13,8,0,0,18,7,7,6,0
2022,Florida AM,14,14,7,21,0,7,7,10,0,0
2022,App State,7,21,13,22,0,14,7,0,40,0
2022,Georgia State,7,14,7,7,0,3,7,18,0,0
2022,Notre Dame,7,7,6,12,0,0,24,14,7,0
2022,Virgina Tech,7,17,17,0,0,3,7,0,0,0
2022,Miami FL,7,14,3,3,0,0,17,0,7,0
2022,Duke,10,7,14,7,0,7,14,0,14,0
2022,Pittsburgh,7,7,7,21,0,7,10,7,0,0
2022,Virginia,3,7,14,7,0,7,7,7,7,0
2022,Wake Forest,14,13,6,3,0,7,14,13,0,0
2022,Georgia Tech,7,10,0,0,0,0,7,7,7,0
2022,NC State,3,7,0,14,3,7,10,0,7,6
2022,Clemson,7,3,0,0,0,14,10,15,0,0
2022,Oregon,7,14,0,6,0,7,7,0,14,0
